,country,athlete_name,sport_name,event_name,medal_type
0,Latvia,CAVARS Agnis,3x3 Basketball;BK3;,Men,Gold Medal
1,Latvia,KRUMINS Edgars,3x3 Basketball;BK3;,Men,Gold Medal
2,Latvia,LASMANIS Karlis,3x3 Basketball;BK3;,Men,Gold Medal
3,Latvia,MIEZIS Nauris,3x3 Basketball;BK3;,Men,Gold Medal
4,United States of America,DOLSON Stefanie,3x3 Basketball;BK3;,Women,Gold Medal
5,United States of America,GRAY Allisha,3x3 Basketball;BK3;,Women,Gold Medal
6,United States of America,PLUM Kelsey,3x3 Basketball;BK3;,Women,Gold Medal
7,United States of America,YOUNG Jacquelyn,3x3 Basketball;BK3;,Women,Gold Medal
8,Turkey,GAZOZ Mete,Archery;ARC;,Men's Individual,Gold Medal
9,Republic of Korea,KIM Je Deok,Archery;ARC;,Men's Team,Gold Medal
10,Republic of Korea,KIM Woojin,Archery;ARC;,Men's Team,Gold Medal
11,Republic of Korea,OH Jinhyek,Archery;ARC;,Men's Team,Gold Medal
12,Republic of Korea,AN San,Archery;ARC;,Women's Individual,Gold Medal
13,Republic of Korea,AN San,Archery;ARC;,Women's Team,Gold Medal
14,Republic of Korea,JANG Minhee,Archery;ARC;,Women's Team,Gold Medal
15,Republic of Korea,KANG Chaeyoung,Archery;ARC;,Women's Team,Gold Medal
16,Republic of Korea,AN San,Archery;ARC;,Mixed Team,Gold Medal
17,Republic of Korea,KIM Je Deok,Archery;ARC;,Mixed Team,Gold Medal
18,Japan,HASHIMOTO Daiki,Artistic Gymnastics;GAR;,Men's All-Around,Gold Medal
19,Israel,DOLGOPYAT Artem,Artistic Gymnastics;GAR;,Men's Floor Exercise,Gold Medal
0,Japan,HASHIMOTO Daiki,Artistic Gymnastics;GAR;,Men's Horizontal Bar,Gold Medal
1,People's Republic of China,ZOU Jingyuan,Artistic Gymnastics;GAR;,Men's Parallel Bars,Gold Medal
2,Great Britain,WHITLOCK Max,Artistic Gymnastics;GAR;,Men's Pommel Horse,Gold Medal
3,People's Republic of China,LIU Yang,Artistic Gymnastics;GAR;,Men's Rings,Gold Medal
4,Republic of Korea,SHIN Jeahwan,Artistic Gymnastics;GAR;,Men's Vault,Gold Medal
5,ROC,ABLIAZIN Denis,Artistic Gymnastics;GAR;,Men's Team,Gold Medal
6,ROC,BELYAVSKIY David,Artistic Gymnastics;GAR;,Men's Team,Gold Medal
7,ROC,DALALOYAN Artur,Artistic Gymnastics;GAR;,Men's Team,Gold Medal
8,ROC,NAGORNYY Nikita,Artistic Gymnastics;GAR;,Men's Team,Gold Medal
9,United States of America,LEE Sunisa,Artistic Gymnastics;GAR;,Women's All-Around,Gold Medal
10,People's Republic of China,GUAN Chenchen,Artistic Gymnastics;GAR;,Women's Balance Beam,Gold Medal
11,United States of America,CAREY Jade,Artistic Gymnastics;GAR;,Women's Floor Exercise,Gold Medal
12,Belgium,DERWAEL Nina,Artistic Gymnastics;GAR;,Women's Uneven Bars,Gold Medal
13,Brazil,ANDRADE Rebeca,Artistic Gymnastics;GAR;,Women's Vault,Gold Medal
14,ROC,AKHAIMOVA Liliia,Artistic Gymnastics;GAR;,Women's Team,Gold Medal
15,ROC,LISTUNOVA Viktoriia,Artistic Gymnastics;GAR;,Women's Team,Gold Medal
16,ROC,MELNIKOVA Angelina,Artistic Gymnastics;GAR;,Women's Team,Gold Medal
17,ROC,URAZOVA Vladislava,Artistic Gymnastics;GAR;,Women's Team,Gold Medal
18,ROC,KOLESNICHENKO Svetlana,Artistic Swimming;SWA;,Duet,Gold Medal
19,ROC,ROMASHINA Svetlana,Artistic Swimming;SWA;,Duet,Gold Medal
0,ROC,CHIGIREVA Vlada,Artistic Swimming;SWA;,Team,Gold Medal
1,ROC,GOLIADKINA Marina,Artistic Swimming;SWA;,Team,Gold Medal
2,ROC,KOLESNICHENKO Svetlana,Artistic Swimming;SWA;,Team,Gold Medal
3,ROC,KOMAR Polina,Artistic Swimming;SWA;,Team,Gold Medal
4,ROC,PATSKEVICH Aleksandra,Artistic Swimming;SWA;,Team,Gold Medal
5,ROC,ROMASHINA Svetlana,Artistic Swimming;SWA;,Team,Gold Medal
6,ROC,SHISHKINA Alla,Artistic Swimming;SWA;,Team,Gold Medal
7,ROC,SHUROCHKINA Maria,Artistic Swimming;SWA;,Team,Gold Medal
8,Ethiopia,BAREGA Selemon,Athletics;ATH;,"Men's 10,000m",Gold Medal
9,Italy,JACOBS Lamont Marcell,Athletics;ATH;,Men's 100m,Gold Medal
10,Jamaica,PARCHMENT Hansle,Athletics;ATH;,Men's 110m Hurdles,Gold Medal
11,Norway,INGEBRIGTSEN Jakob,Athletics;ATH;,Men's 1500m,Gold Medal
12,Canada,de GRASSE Andre,Athletics;ATH;,Men's 200m,Gold Medal
13,Italy,STANO Massimo,Athletics;ATH;,Men's 20km Race Walk,Gold Medal
14,Morocco,EL BAKKALI Soufiane,Athletics;ATH;,Men's 3000m Steeplechase,Gold Medal
15,Bahamas,GARDINER Steven,Athletics;ATH;,Men's 400m,Gold Medal
16,Norway,WARHOLM Karsten,Athletics;ATH;,Men's 400m Hurdles,Gold Medal
17,Italy,DESALU Eseosa Fostine,Athletics;ATH;,Men's 4 x 100m Relay,Gold Medal
18,Italy,JACOBS Lamont Marcell,Athletics;ATH;,Men's 4 x 100m Relay,Gold Medal
19,Italy,PATTA Lorenzo,Athletics;ATH;,Men's 4 x 100m Relay,Gold Medal
0,Italy,TORTU Filippo,Athletics;ATH;,Men's 4 x 100m Relay,Gold Medal
1,United States of America,BENJAMIN Rai,Athletics;ATH;,Men's 4 x 400m Relay,Gold Medal
2,United States of America,CHERRY Michael,Athletics;ATH;,Men's 4 x 400m Relay,Gold Medal
3,United States of America,DEADMON Bryce,Athletics;ATH;,Men's 4 x 400m Relay,Gold Medal
4,United States of America,NORMAN Michael,Athletics;ATH;,Men's 4 x 400m Relay,Gold Medal
5,United States of America,NORWOOD Vernon,Athletics;ATH;,Men's 4 x 400m Relay,Gold Medal
6,United States of America,ROSS Randolph,Athletics;ATH;,Men's 4 x 400m Relay,Gold Medal
7,United States of America,STEWART Trevor,Athletics;ATH;,Men's 4 x 400m Relay,Gold Medal
8,Uganda,CHEPTEGEI Joshua,Athletics;ATH;,Men's 5000m,Gold Medal
9,Poland,TOMALA Dawid,Athletics;ATH;,Men's 50km Race Walk,Gold Medal
10,Kenya,KORIR Emmanuel Kipkurui,Athletics;ATH;,Men's 800m,Gold Medal
11,Canada,WARNER Damian,Athletics;ATH;,Men's Decathlon,Gold Medal
12,Sweden,STAHL Daniel,Athletics;ATH;,Men's Discus Throw,Gold Medal
13,Poland,NOWICKI Wojciech,Athletics;ATH;,Men's Hammer Throw,Gold Medal
14,Italy,TAMBERI Gianmarco,Athletics;ATH;,Men's High Jump,Gold Medal
15,Qatar,BARSHIM Mutaz Essa,Athletics;ATH;,Men's High Jump,Gold Medal
16,India,CHOPRA Neeraj,Athletics;ATH;,Men's Javelin Throw,Gold Medal
17,Greece,TENTOGLOU Miltiadis,Athletics;ATH;,Men's Long Jump,Gold Medal
